net,length_um
_03820_,492.045
_05081_,489.34
_01883_,488.42
_02263_,486.45
_01814_,483.93
_02214_,483.4
_03778_,482.08
_01877_,481.08
_02045_,480.8
_01898_,479.74
_01887_,477.83
_05103_,477.34
_02609_,475.46
_03818_,474.46
_04114_,474.04
_02281_,473.74
net19,473.4
_01856_,472.44
_02681_,471.86
_03806_,471.04
_02740_,468.32
_05020_,467.92
_03128_,466.94
_03274_,466.775
_05067_,466.72
_03048_,466.08
_02251_,465.72
_01810_,465.62
_03920_,465.52
_04204_,464.01
_02210_,463.04
_02237_,462.02
_02775_,459.62
_01837_,458.72
_04430_,457.08
_02732_,456.48
_02465_,455.055
_01885_,448.48
_04259_,447.445
_02381_,447.2
_03194_,446.49
_01860_,445.21
_02706_,445.16
_01872_,444.82
_01973_,444.34
_02222_,442.78
_01874_,442.04
_02659_,440.02
_05056_,440.02
_03757_,439.46
_02259_,438.86
net16,436.84
_03185_,434.17
_05092_,434.12
_03184_,433.11
_02912_,432.94
_05031_,431.48
_01278_,429.875
_03787_,429.5
_03973_,429.5
_02837_,426.98
_01164_,426.38
_02479_,426.07
_04071_,423.48
_01121_,423.17
_02850_,422.06
_03805_,421.44
_02199_,420.52
_03275_,420.26
_01912_,417.15
_02406_,416.66
_02587_,415.595
_02028_,414.12
_02943_,414.1
_02270_,414.02
_02598_,413.12
net17,412.93
_02253_,409.34
_01795_,408.2
_03413_,408.06
_02670_,406.78
net23,406.74
_03136_,406.38
_01270_,404.98
_03383_,404.76
_04840_,404.52
_03370_,404.5
_02573_,404.27
_02245_,403.6
_03035_,403.39
_03372_,403.14
_01334_,403.12
_04529_,402.16
_02205_,401.8
_02881_,401.48
_03236_,400.7
_03204_,400.16
_03298_,400
_01829_,399.76
_04475_,399.42
_02229_,399.24
net42,398.96
_03187_,398.485
_03259_,398.32
_03467_,397.88
_03911_,397.44
_02082_,397.34
_03076_,397.095
_01295_,396.6
_02759_,396.34
_04876_,395.76
_03267_,395.46
_01852_,395.15
_02017_,394.66
_01161_,394.28
_02735_,393.84
net39,393.54
_04514_,393.42
_04959_,392.42
_03278_,390.15
_04377_,389.38
_03523_,388.2
_04351_,388.1
_03789_,388.01
net43,387.96
_04446_,386.7
_02816_,386.28
_03922_,385.6
_03043_,385.56
net13,385.075
_02247_,383.5
_04195_,382.31
_04257_,381.74
_02093_,381.26
_03929_,380.1
_02702_,378.66
_02243_,378.24
_03131_,377.615
_02753_,377.32
_02220_,375.54
_04583_,374.62
_03033_,374.48
_02899_,373.78
_02717_,372.4
_03804_,372.33
_03780_,371.54
_03071_,371.08
_01850_,370.42
_04314_,369.76
_03566_,369.32
_04104_,368.5
_02191_,368.36
_04384_,368.2
clknet_5_4__leaf_clock,366.62
_01963_,366.24
_04829_,366.01
clknet_5_15__leaf_clock,365.77
_02751_,365.56
_02265_,363.83
_03608_,363.48
net14,363.04
_04110_,360.56
_03690_,360.28
_01800_,360.16
_04192_,360.12
_04141_,360.06
_03718_,359.66
_03166_,359.58
_04186_,359.46
_03256_,359.365
_03827_,358.84
net40,358.82
_03452_,358.58
_04201_,356.6
clknet_5_14__leaf_clock,356.35
_01866_,354.52
_01848_,354.48
_03985_,353.6
_02901_,353.46
_01297_,353.26
_04665_,353.22
_03580_,353.06
clknet_5_6__leaf_clock,352.53
_04693_,352.26
_02697_,352.12
_04068_,352.035
_02255_,351.58
_02117_,348.96
net34,347.94
net41,347.92
_04637_,346.8
_03029_,346.38
net37,346.24
_04414_,345.84
_04337_,345.68
_03551_,345.5
_03188_,342.06
_01980_,340.32
_03915_,340.28
_01144_,339.66
clknet_5_7__leaf_clock,339.6
_01454_,338.78
_03968_,338.16
_04043_,336.44
_01304_,336.36
_04079_,336.02
_02306_,335.94
_02153_,335.46
clknet_5_13__leaf_clock,334.54
_02104_,334.06
_04793_,333.66
_01820_,333.32
_03675_,333.02
clknet_5_5__leaf_clock,331.69
_04936_,330.68
_04200_,327.61
_04721_,327.3
_03649_,326.62
_03495_,326.08
_02800_,324.38
_01991_,324.34
_04851_,323.92
_03809_,323.84
_01806_,322.98
_04749_,321.04
_04777_,319.4
_01234_,316.22
_01120_,315.76
clknet_5_8__leaf_clock,314.11
_01914_,311.4
_04009_,311.24
_01870_,311.14
_03841_,310.84
_02622_,308.84
_04549_,308.36
_01844_,307.36
_02694_,305.94
_04343_,305.6
_02249_,305.32
_01969_,305.2
_03783_,304.4
_04622_,303.74
_01893_,303.25
_04804_,303.24
_04815_,302.38
_04028_,301.98
_02295_,301.56
_03340_,300.88
clknet_5_12__leaf_clock,300.67
_01975_,300.34
_04410_,300.04
clknet_5_9__leaf_clock,299.75
_04252_,299.02
_02993_,298.78
_01167_,297.18
_02801_,295.78
_02206_,295.65
_04887_,295.36
_03734_,293.22
_01904_,292.2
_03118_,292.1
_02317_,291.54
_04181_,290.62
_04222_,290.26
_04900_,287.4
_04333_,286.81
clknet_5_18__leaf_clock,285.75
_03117_,285.5
_04336_,285.39
_02714_,284.97
_02749_,284.62
_02442_,283.9
_01858_,283.42
_02894_,283.36
_02514_,282.28
_02369_,281.3
_03042_,280.38
_03775_,279.88
_02044_,279.44
_02405_,278.36
clknet_5_29__leaf_clock,277.54
_01294_,276.74
_01123_,276.44
_01862_,274.82
_01916_,274.58
_01148_,274.26
_02709_,273.9
_04402_,273.82
_04190_,273.39
_01965_,272.9
_03183_,272.8
clknet_5_11__leaf_clock,271.91
_04972_,271.68
_02829_,270.96
_02478_,269.28
_03786_,268.78
_04865_,268.58
clknet_5_2__leaf_clock,268.48
_01160_,268.16
clknet_5_0__leaf_clock,267.8
_01194_,267.095
_02227_,266.84
_01920_,265.56
_01371_,265.32
_01156_,265.24
_01124_,264.92
_01881_,263.48
clknet_5_17__leaf_clock,262.5
clknet_5_3__leaf_clock,262.39
_04332_,261.26
_01127_,260.92
_04568_,260.62
_01139_,259.04
_05080_,258.34
_01173_,258.26
_01138_,256.86
clknet_5_1__leaf_clock,256.53
_01924_,256.2
clknet_5_26__leaf_clock,255.8
_02005_,255.7
_01908_,253.78
clknet_5_16__leaf_clock,250.01
_03001_,249.72
_01200_,248.88
_04370_,248.72
_01149_,248.69
_02190_,248.1
_02698_,247.82
_04241_,247.22
_03347_,247.2
_01962_,245.66
_04864_,244.24
_04598_,244.2
_04792_,243.58
_04828_,240.92
_01153_,240.28
net38,240.2
_04127_,239.55
_01641_,238.23
clknet_5_31__leaf_clock,237.42
_03771_,236.14
_02252_,236.04
alu.a\[31\],235.38
_03366_,234.78
clknet_5_24__leaf_clock,233.94
_05044_,233.78
_01163_,233.34
_05008_,233.26
_04299_,232.6
_02550_,231.12
clknet_5_25__leaf_clock,230.16
_04734_,229.84
_01318_,229.8
_01876_,229.22
_01169_,228.96
_02959_,228.84
_03703_,227.36
clknet_5_19__leaf_clock,227.17
_03564_,226.28
_01146_,225.48
_01188_,225.46
_02586_,225.4
_01281_,224.315
_02658_,224.14
_04162_,223.58
clknet_5_10__leaf_clock,223.42
_01162_,223.37
_02332_,223.28
_01157_,223.04
_01798_,222.43
_01277_,222.42
_02294_,220.48
_03949_,220.18
_01176_,219.64
clknet_5_30__leaf_clock,218.9
_02081_,218.84
_03205_,218.7
_03182_,217.52
clknet_5_27__leaf_clock,215.63
_01250_,214.2
_03508_,212.5
alu.a\[26\],212.39
_04285_,212.14
_02080_,210.76
_01239_,210.32
alu.b\[6\],209.755
_01379_,207.72
_01961_,207.4
_01152_,207.12
_04706_,204.54
_03731_,203.62
_03024_,203.54
_01190_,202.66
_01567_,201.56
clknet_5_23__leaf_clock,200.44
_01868_,199.78
alu.a\[30\],199.16
_01150_,198.64
_01900_,198
_02043_,194.51
_01128_,194.12
_04762_,192.76
alu.a\[29\],192.76
