net,length_um
net4,55.7
net8,55.6
net6,52.46
net7,50.98
net3,48.59
net5,47.44
_02_,47.035
net2,45.92
_04_,38.82
net9,38.66
_06_,37.02
net11,36.34
net1,34.42
net10,31.72
_00_,31.38
_07_,30.82
net14,22.46
_08_,17.68
net13,15.38
out[7],13.83
out[0],11.89
in[7],11.41
in[0],11.07
out[6],9.87
in[6],9.21
in[4],7.25
_01_,7.18
out[2],7.15
net16,7.06
in[1],6.33
in[5],6.31
in[3],5.97
out[5],5.29
in[2],4.61
out[3],4.27
out[1],3.93
out[4],3.93
net12,2.62
net15,2.62
_09_,2.5
_03_,2.04
_05_,0.46
