net,length_um
a.count\[0\],500.66
_057_,435.26
a.one_second_counter\[22\],412.32
_114_,398.89
_082_,397.52
_113_,396.6
_043_,394.5
a.one_second_counter\[0\],389.4
_044_,386.74
a.one_second_counter\[8\],384.48
a.one_second_counter\[19\],381.58
_115_,379.58
_031_,361.9
a.one_second_counter\[7\],360.48
a.one_second_counter\[9\],359.505
a.count\[1\],356.76
a.count\[2\],354.3
a.one_second_counter\[5\],351.18
a.one_second_counter\[1\],337.335
_116_,330.66
_093_,316.16
a.count\[3\],316.14
_088_,305.7
a.one_second_counter\[25\],303.06
net7,298.42
_117_,287.12
_011_,282.3
a.one_second_counter\[24\],281.04
_046_,281.02
net8,278.22
_106_,277.64
a.one_second_counter\[13\],276.14
net3,274.88
a.one_second_counter\[23\],270.94
a.one_second_counter\[11\],269.46
_073_,269.235
_061_,264.3
net1,263.5
_056_,260.32
a.one_second_counter\[20\],260.02
a.one_second_counter\[15\],252.015
_101_,250.54
a.one_second_counter\[26\],248.38
a.one_second_counter\[3\],244.94
a.one_second_counter\[17\],244.38
_107_,243.58
_077_,240.02
_085_,239.1
a.one_second_counter\[16\],235
_009_,233.38
_087_,232.3
net4,231.52
_084_,230.55
_120_,230.18
_118_,228.42
_065_,224.08
net2,219.96
_091_,219.84
a.one_second_counter\[2\],216.6
_068_,216.56
_003_,216.24
_096_,214.7
_055_,213.79
a.one_second_counter\[21\],209.16
a.one_second_counter\[4\],209.16
net5,208.96
_097_,206.86
clknet_2_0__leaf_clk,205.64
net6,204.94
a.one_second_counter\[6\],204.18
_104_,201.82
_004_,197.34
_066_,191.12
_109_,189.66
clknet_2_3__leaf_clk,189.1
_112_,188.42
_100_,188.3
a.one_second_counter\[12\],188.16
_086_,187.61
_105_,186.88
_067_,185.34
clknet_0_clk,184.03
_051_,182.17
clknet_2_1__leaf_clk,182.14
a.one_second_counter\[10\],181.68
_069_,181.12
_095_,180.84
_041_,180.6
_026_,179.72
_062_,179.52
_012_,179.26
_030_,178.76
_054_,178.56
_023_,177.18
_015_,176.76
_005_,175.08
_072_,174.2
_001_,173.94
a.one_second_counter\[18\],171.14
_042_,170.4
clknet_2_2__leaf_clk,170.1
_071_,167.32
_102_,165.76
_033_,164.52
_010_,160.605
_008_,149.84
_048_,148.78
_108_,146.52
_019_,145.665
_027_,141.885
a.one_second_counter\[14\],139.56
_006_,138.86
_040_,134.3
_039_,132.72
_053_,132.44
_110_,130.9
_032_,129.48
_020_,128.145
_064_,124.14
_024_,122.46
_090_,119.88
_080_,116.56
_017_,114.725
_078_,106.82
_029_,105.66
_092_,104.8
_070_,104.32
_063_,104.1
_119_,102.74
_076_,102.46
_025_,99.445
clk,99
_050_,97.16
_083_,97.06
_002_,95.865
_049_,95.48
_045_,94.94
_099_,94.36
_103_,94.08
_028_,93.76
_074_,92.94
_035_,86.54
_037_,86.26
_018_,85.585
_075_,84.14
_034_,83.48
_047_,79.04
_079_,72.14
_000_,70.38
_013_,65.465
_081_,64.98
_121_,63.62
_036_,60.04
_022_,57.445
_094_,56.68
_111_,56.46
_060_,55.68
_014_,49.825
_007_,49.72
_089_,45.32
_059_,42.16
_058_,41.32
_016_,35.185
_098_,25.5
_052_,23.54
_038_,14
rst,6.77
net9,4.95
_021_,4.165
seg_out[0],3.93
seg_out[1],3.93
seg_out[2],3.93
seg_out[3],3.93
seg_out[4],3.93
seg_out[5],3.93
seg_out[6],3.93
