net,length_um
_091_,222.73
net9,213.96
_099_,212.41
net2,207.34
_097_,206.01
_094_,203.39
_141_,198.85
_101_,182.735
_093_,182.11
net17,179.26
_090_,172.86
_103_,169.72
_145_,168.17
net15,164.23
_114_,161.97
_104_,160.82
_111_,157.23
net13,156.93
net3,156.33
_143_,155.85
net19,153.32
_018_,153.22
net5,152.48
net7,149.24
net18,149.08
net21,141.54
net6,137.72
net11,137.03
_006_,136.465
_115_,131.2
net4,130.68
_003_,130.01
_063_,127.36
_076_,126.32
_032_,125.63
net14,119.005
_158_,112.88
_089_,112.3
_107_,111.85
_087_,111.3
_004_,110.72
_020_,108.2
_057_,106.74
_100_,106.69
_121_,106.08
_015_,104.98
_026_,104.28
_088_,102.94
_096_,102.44
_030_,102.3
_001_,101.36
_081_,101.2
_122_,101.07
_010_,100.27
_150_,99.97
net16,97.64
_014_,97
net12,95.64
net27,94.87
_000_,94.39
_025_,94.03
_073_,93.82
_017_,93.05
_021_,92.53
_155_,92.18
_137_,91.06
_134_,90.45
_066_,89.5
_083_,89.16
_151_,87.4
_009_,86.66
_012_,86.65
_109_,85.96
net1,85.89
_132_,85.8
_039_,84.37
net8,84.2
_159_,84.02
_092_,83.7
net10,83.16
_027_,83.06
_126_,83.03
_113_,81.43
net26,81.26
_095_,80.56
_118_,78.44
_011_,78.14
_072_,77.56
_061_,77.26
_005_,77.18
_156_,77.06
_154_,76.52
net24,76.51
_082_,75.87
_060_,73.33
_116_,71.24
_007_,69.58
_140_,65.98
_008_,65.32
_065_,64.86
_117_,63.94
_125_,63.66
_069_,63.36
_119_,63.16
net23,62.89
_102_,62.72
_079_,62.18
_129_,62.04
_106_,61.5
_128_,60.37
_041_,59.19
net29,59.11
_059_,58.92
_136_,58.53
_022_,57.28
net22,55.12
net25,54.38
_037_,52.78
_045_,52.78
_075_,52.6
_105_,52.46
_050_,52.34
_067_,50.76
_080_,50.74
_074_,49.94
_130_,49.84
_053_,49.7
_153_,49.28
net20,48.48
_123_,48.02
_031_,47.94
_024_,47.5
_034_,45.94
_160_,45.74
_044_,45.42
_046_,44.86
_135_,43.76
_040_,43.62
_149_,43.495
_028_,41.44
_133_,38.72
_047_,38.64
_062_,37.76
_064_,37.42
_139_,35.56
_138_,35.38
_038_,35.12
_112_,35.1
_036_,34.24
_120_,34.04
_084_,33.6
_157_,33.34
_144_,32.9
_085_,31.12
_152_,31.04
_054_,30.96
_029_,30.8
_002_,30.46
_071_,29.62
_051_,29.36
_019_,29.2
_042_,27.78
_033_,26.6
_148_,25.62
_098_,24.76
_035_,23.92
_078_,23.86
_048_,23.84
_108_,23.44
_142_,23.38
net28,22.04
_086_,21.98
_052_,21.32
_127_,20.76
_016_,20.38
_110_,19.66
_058_,18.56
_070_,18.48
_049_,17.64
_077_,17.06
_013_,15.28
_056_,14.94
_124_,13.34
_023_,13.16
out[0],11.43
_055_,10.32
opcode[0],9.3
_043_,9.28
out[1],8.97
opcode[2],8.84
opcode[1],8.72
out[7],8.47
B[0],8.13
_147_,7.98
A[4],7.71
B[1],7.71
_146_,7.48
A[7],7.45
net30,7.44
out[5],6.55
_068_,6.12
A[2],6.09
A[3],6.09
B[7],5.97
_131_,5.8
A[5],5.75
out[3],5.75
A[0],5.63
A[1],5.41
B[2],5.41
B[5],5.41
A[6],5.23
out[2],5.07
B[4],4.95
B[6],4.95
B[3],4.61
out[4],4.39
out[6],4.39
